SkillName	SkillID	Design_Belong	Design_Effect	MaxLevel	KindType	FunctionType	UIType	BelongKungfu	BelongSchool	CastMode	WeaponRequest	IsCostAmmo	CostItemType	CostItemIndex	MountRequestType	MountRequestDetail	MountType	IsMountAble	IsPassiveSkill	IsChannelSkill	IsExpSkill	IsExactHit	IsInstinct	IsAutoTurn	CauseAbradeEquipment	CauseBeatBreak	CauseBeatBack	HasCriticalStrike	SkillEventMask1	SkillEventMask2	SkillCastFlag	UseCastScript	Use3DObstacle	CheckReachable	IgnorePositiveShield	IgnoreNegativeShield	NeedOutOfFight	SelfOnFear	SelfHorseStateRequest	TargetTypePlayer	TargetTypeNpc	TargetRelationNone	TargetRelationSelf	TargetRelationAlly	TargetRelationEnemy	TargetRelationDialog	TargetRelationNeutrality	TargetRelationParty	TargetRelationRaid	TargetHorseStateRequest	TargetOnFear	AutoSelectTarget	NPCWeaponType	CommonSkillActiveMode	IsBindCombatTag	EffectPlayType	ScriptFile	_ScriptFileHashID	EffectType	CheckBindBuff	MountRequestDetailLevel	CastMask	SelfMoveStateMask	TargetMoveStateMask	RecipeType	MapBanMask	SkillMark	SelfBackupMoveStateMask	TargetRelationMentor	TargetRelationApprentice	KungfuMountID	HorseMask	PetTemplateID	TargetNpcSpeciesMask	SelfSprintStateRequest	SelfTerrainStateRequest	SelfFollowStateRequest	IgnoreCamp	TargetFollowStateRequest	IsCheckStealth	SelfMoveStateMask2	SelfBackupMoveStateMask2	TargetMoveStateMask2	Pos	CanReverse	CanCastOnTower	TargetRelationTeamGroup	TargetJumpCountMask	IgnoreSilence	LongRange	BelongDynamicGroupID	IsTherapy	CanKeepHoard	CanCastWithHoard	CanAddMaxRadius	KillRushCanCastMode	MinSelectTargetCount	MaxSelectTargetCount	SkillEventMask3	UseDamageScalingCompression	IgnoreImmunityCast
横扫千军	10	测试技能	直接伤害技能	10	Physics	Damage	1	10010	0	Sector	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	519	32768	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Melee	1	AniAndSfx	江湖\扫叶腿法_横扫千军.lua		Harmful				16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0										AllMapCanCast					
普通攻击-棍攻击	11	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	1	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Invalid	1	AniAndSfx	江湖/防身武艺_普通攻击.lua		Harmful				16638	1010728958	11			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	1	0										AllMapCanCast					
普通攻击-枪攻击	12	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	2	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	Any	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Invalid	1	AniAndSfx	江湖/防身武艺_普通攻击.lua		Harmful				16638	1010728958	11			0	0	0	0	6145	0		NotInSprint	Any				1	7	0	7	0	1	0										AllMapCanCast					
普通攻击-剑攻击	13	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	3	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Invalid	1	AniAndSfx	江湖/防身武艺_普通攻击.lua		Harmful				16638	1010728958	11			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	1	0										AllMapCanCast					
普通攻击-拳套攻击	14	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	4	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Invalid	1	AniAndSfx	江湖/防身武艺_普通攻击.lua		Harmful				16638	1010728958	11			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	1	0										AllMapCanCast					
普通攻击-双兵攻击	15	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	5	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Invalid	1	AniAndSfx	江湖/防身武艺_普通攻击.lua		Harmful				16638	1010728958	11			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	1	0										AllMapCanCast					
普通攻击-笔攻击	16	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	6	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Invalid	1	AniAndSfx	江湖/防身武艺_普通攻击.lua		Harmful				16638	1010728958	11			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	1	0										AllMapCanCast					
江湖-防身武艺-打坐	17	主角通用技能	主动辅助技能	1	None	Normal	1	10005	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	0	1	1	0	NotHorse	1	0	0	1	0	0	0	0	0	0	NotHorse	1	0	0		0	AniAndSfx	江湖\防身武艺_打坐.lua		Beneficial				16642	1010728958	0	512		0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
踏云	18	主角通用技能	直接伤害技能	1	Leap	Damage	1	10082	0	CasterSingle	0	0	Invalid	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	66049		0	0	0	0	1	0	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	NotHorse	1	0	0		0	None	江湖/江湖轻功_踏云.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
虚弱	19	NPC技能	直接伤害技能	1	None	Damage	0	10085	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	1	0	0	0	Any	0	1	0	0	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	npc/NPC_weakness.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0														1	
毒牙	20	NPC技能	直接伤害技能	1	None	Damage	0	10085	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		0	0	1	1	1	0	0	0	NotHorse	1	0	0	0	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	npc/NPC_poisonteeth.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0														1	
击晕	21	NPC技能	直接伤害技能	1	None	Damage	0	10085	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1	1	1	0	0	0	Any	1	0	0	0	0	1	0	0	0	0	Any	1	0	0		1	AniAndSfx	npc/NPC_hittowhirl.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0														1	
网困	22	测试技能	直接伤害技能	1	None	Damage	1	10038	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\十二连环坞\十二连环坞_网困.lua		Harmful	0	0	0	16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0														1	
点穴	23	NPC技能	直接伤害技能	1	None	Damage	0	10085	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1	1	1	0	0	0	NotHorse	1	0	0	0	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	npc/NPC_hitacupoint(test).lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0														1	
击晕（测试技能）	24	NPC技能	直接伤害技能	1	None	Damage	0	10085	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0		0	0	1	1	1	0	0	0	NotHorse	1	0	0	0	0	1	0	0	0	0	Any	1	0	0		0	AniAndSfx	npc/NPC_hittowhirl(test).lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0														1	
下品止血散	25	道具技能	直接伤害技能	8	None	Damage	1	10006	13	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	1	0	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	NotHorse	1	0	0		0	None	item/ITEM_heal_heal2.lua		Harmful				49166	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
非战斗状态恢复品1	26	道具技能	直接伤害技能	13	None	Damage	1	10006	13	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	1	0	1	0	NotHorse	1	0	0	1	0	0	0	0	0	0	NotHorse	1	0	0		0	None	item/ITEM_heal_heal3.lua		Harmful				49410	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
粗制绷带	27	道具技能	直接伤害技能	1	None	Damage	1	10006	13	TargetSingle	0	0	Invalid	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0		0	0	1	1	1	0	0	0	NotHorse	1	1	0	1	1	0	1	1	0	0	Any	1	0	0		0	None	item/ITEM_heal_heal4.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0															
NPC-普通攻击	28	NPC技能	直接伤害技能	1	Physics	Damage	0	10085	12	TargetSingle	4	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	131075		0	0	1	0	1	0	0	0	Any	1	1	1	0	0	1	0	0	0	0	Any	1	0	1		1	AniAndSfx	npc/NPC_MeleeAttack.lua		Harmful				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	4	0	7	0	0	0														0	
拱手	29	测试技能	直接伤害技能	1	None	Damage	1	10005	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	0	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	系统/系统_表情动作.lua		Neutral				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
鼓掌	30	测试技能	直接伤害技能	1	None	Damage	1	10005	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	0	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	系统/系统_表情动作.lua		Neutral				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
哭	31	测试技能	直接伤害技能	1	None	Damage	1	10005	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	0	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	系统/系统_表情动作.lua		Neutral				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
笑	32	测试技能	直接伤害技能	1	None	Damage	1	10005	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0		0	0	0	0	0	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	AniAndSfx	系统/系统_表情动作.lua		Neutral				49166	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
加速	33	测试技能	主动辅助技能	1	None	Damage	1	10006	13	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	0	0	0	1	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	None	test/speedup.lua		Harmful				49278	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0															
江湖-防身武艺-暗器攻击	34	主角通用技能	直接伤害技能	1	Physics	Damage	1	10005	0	TargetSingle	7	1	Invalid	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	523	32768	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0		1	AniAndSfx	江湖/防身武艺_暗器攻击.lua		Harmful				16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
 基础环通2传功	35	测试技能	直接伤害技能	1	None	Normal	1	10125	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1025	0	0	1	1	0	1	1	0	0	NotHorse	1	0	0	0	0	0	0	0	1	0	NotHorse	0	0	0	Invalid	1	SfxOnly	经脉\基础系\基础系_传功.lua		Neutral	0		64	256	1006633216	0	0		256	0	0	0	0	0		NotInSprint	Any				1	4	0	4	0	0	0															
闪电链	36	测试技能	直接伤害技能	1	None	Damage	1	10005	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0		0	0	0	0	1	0	0	0	NotHorse	1	1	1	0	0	1	0	0	0	0	Any	1	0	0		0	AniAndSfx	test/lightning.lua		Harmful				49278	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
邪恶光环	37	测试技能	直接伤害技能	1	None	Damage	1	10005	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0		0	AniAndSfx	test/evillight.lua		Harmful				49278	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
死亡气息	38	测试技能	直接伤害技能	1	None	Damage	1	10005	0	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0		0	0	1	0	1	0	0	0	Any	0	1	1	0	1	0	1	1	0	0	Any	1	0	0		0	AniAndSfx	test/Bomb.lua		Harmful				49278	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0															
练功针对ID10000	39	测试技能	直接伤害技能	1	None	Damage	1	10006	13	CasterSingle	0	0	Invalid	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	1	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	None	test/PracticeKungfu.lua		Harmful				49154	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				0	4	0	7	0	0	0															
奇穴·任脉·气端	40	测试技能	直接伤害技能	10	None	Damage	1	10066	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\基础系\基础系_增加移动速度_环通.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
奇穴·督脉·腰眼	41	测试技能	直接伤害技能	10	None	Damage	1	10074	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\辅助系\辅助系_环通_增加气血最大值.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
奇穴·督脉·抬肩	42	测试技能	直接伤害技能	10	None	Damage	1	10074	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\辅助系\辅助系_环通_减少受到的伤害.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
奇穴·督脉·睛中	43	测试技能	直接伤害技能	10	None	Damage	1	10074	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\辅助系\辅助系_环通_减少吟唱被打退几率.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
奇穴·带脉·曲泉	44	测试技能	直接伤害技能	10	None	Damage	1	10083	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\外功系\外功系_环通_增加外功会心几率.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
奇穴·带脉·龙玄	45	测试技能	直接伤害技能	10	None	Damage	1	10083	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\外功系\外功系_环通_增加外功攻击力.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
奇穴·冲脉·极泉	46	测试技能	直接伤害技能	10	None	Damage	1	10084	0	TargetSingle	0	0	Invalid	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	None	经脉\内功系\内功系_环通_增加内功会心几率.lua		Harmful	0			16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
冲锋	47	测试技能	直接伤害技能	1	None	Damage	1	10005	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1	1	1	0	0	0	NotHorse	1	1	1	0	0	1	0	0	0	0	Any	1	0	0		0	AniAndSfx	test/Dash.lua		Harmful				49278	1010761726	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
骑乘跳跃用技能	48	测试技能	直接伤害技能	1	Leap	Damage	1	10082	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0		0	0	1	0	1	1	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	None	0	None	Default.lua		Harmful				32894	1006665854	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0															
扫叶腿法-回风落叶	49	主角通用技能	直接伤害技能	10	Physics	Damage	1	10010	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	519	32768	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	1	0	Melee	1	AniAndSfx	江湖\扫叶腿法_回风落叶.lua		Harmful				16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0										AllMapCanCast					
击飞	50	测试技能	直接伤害技能	1	None	Stun	1	10025	11	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	test\移动状态测试技能.lua		Harmful	0	0	0	4095998	1010728958	0	0		0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
晕	51	测试技能	直接伤害技能	1	None	Damage	1	10025	11	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Any	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	test\移动状态测试技能.lua		Harmful	0	0	0	4095998	1010728958	0	0		0	0	0	0	0	0		NotInSprint	Any				1	7	0	7	0	0	0															
回春妙手	52	测试技能	直接伤害技能	5	None	Heal	1	10095	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	513	0	0	0	0	0	0	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	0	0	0	Melee	0	None	江湖\混元气_回春妙手.lua		Beneficial				16638	1010728958	0			0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0															
骑乘	53	测试技能	直接伤害技能	1	None	Damage	1	10005	0	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0		0	0	0	0	1	1	1	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0		0	None	江湖\骑乘.lua		Neutral				4219022	1010851982	0	1		0	0	0	0	0	0		Any	Any				0	4	0	4	0	0	0										AllMapCanCast					
