ID	Name	Useage	FunctionType	RepresentPos	RepresentID	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Hide	Exclude	Save	OnStand	OnWalk	OnRun	OnJump	OnSwim	OnFloat	OnSit	OnKnockedDown	OnKnockedBack	OnKnockedOff	OnHalt	OnAutoFly	OnDeath	OnDash	OnPull	OnManaShield	OnFight	OnHorse	OnTerrain	FormationLeader	ScriptFile	GlobalExclude	UniqueTarget	CanCancel	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	BeginAttrib5	BeginValue5A	BeginValue5B	BeginAttrib6	BeginValue6A	BeginValue6B	BeginAttrib7	BeginValue7A	BeginValue7B	BeginAttrib8	BeginValue8A	BeginValue8B	BeginAttrib9	BeginValue9A	BeginValue9B	BeginAttrib10	BeginValue10A	BeginValue10B	BeginAttrib11	BeginValue11A	BeginValue11B	BeginAttrib12	BeginValue12A	BeginValue12B	BeginAttrib13	BeginValue13A	BeginValue13B	BeginAttrib14	BeginValue14A	BeginValue14B	BeginAttrib15	BeginValue15A	BeginValue15B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	ActiveAttrib2	ActiveValue2A	ActiveValue2B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	EndTimeAttrib2	EndTimeValue2A	EndTimeValue2B	IsCountable	DecayType	MoveStateMask	MapBanMask	IsOffLineClock	CanAccumulate	SrcDistance	InSprint	InFollow	CancelByUseItem	MapInvalidMask	IsCombatBuff	MinInterval	ClearUnderWater	MoveStateMask2	ShapeShiftInvalid	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	BeginValue1C	BeginValue1D	BeginValue2C	BeginValue2D	BeginValue3C	BeginValue3D	BeginValue4C	BeginValue4D	BeginValue5C	BeginValue5D	BeginValue6C	BeginValue6D	BeginValue7C	BeginValue7D	BeginValue8C	BeginValue8D	BeginValue9C	BeginValue9D	BeginValue10C	BeginValue10D	BeginValue11C	BeginValue11D	BeginValue12C	BeginValue12D	BeginValue13C	BeginValue13D	BeginValue14C	BeginValue14D	BeginValue15C	BeginValue15D	ActiveValue1C	ActiveValue1D	ActiveValue2C	ActiveValue2D	EndTimeValue1C	EndTimeValue1D	EndTimeValue2C	EndTimeValue2D	NoCoverRepresent	MaxAccumulateCount	BeginNotRollBackAttrib1	BeginNotRollBackValue1A	BeginNotRollBackValue1B	BeginNotRollBackValue1C	BeginNotRollBackValue1D	BeginNotRollBackAttrib2	BeginNotRollBackValue2A	BeginNotRollBackValue2B	BeginNotRollBackValue2C	BeginNotRollBackValue2D	BeginNotRollBackAttrib3	BeginNotRollBackValue3A	BeginNotRollBackValue3B	BeginNotRollBackValue3C	BeginNotRollBackValue3D	BeginNotRollBackAttrib4	BeginNotRollBackValue4A	BeginNotRollBackValue4B	BeginNotRollBackValue4C	BeginNotRollBackValue4D	BeginNotRollBackAttrib5	BeginNotRollBackValue5A	BeginNotRollBackValue5B	BeginNotRollBackValue5C	BeginNotRollBackValue5D
122	春泥护花	2	Normal	TopHead	50	122	5	Invalid	6	38	1	6	1	320	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	None	Any	Any	Any	0		1	0	1	atBeatBackRate	-1024		atGlobalResistPercent	389	0	atSkillEventHandler	174	0																																																	1	-1	4294868990		0			Any	Any				320	0	7	1	320	1	1	1																																																																	
122	春泥护花	2	Normal	TopHead	50	122	5	Invalid	7	40	1	6	1	320	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	None	Any	Any	Any	0		1	0	1	atBeatBackRate	-1024		atGlobalResistPercent	410	0	atSkillEventHandler	174	0																																																	1	-1	4294868990		0			Any	Any				320	0	7	1	320	1	1	1																																																																	
124	花语酥心	2	Normal	Body	0	124	5	Invalid	1	1	0	1	8	16	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	None	Any	Any	Any	0		0	0	1																																														atExecuteScript	skill/万花/花语实际回血.lua												-1	4294868990		0			Any	Any				16	0	7	1	16	1	1	1																																																																	
126	毫针	2	Normal	Body	0	126	5	Invalid	1	1	1	7	1	192	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	21		atPhysicsShieldBase	5																																																					1	-1	4294868990		0			Any	Any				192	0	7	1	192	1	1	1																																																																	
126	毫针	2	Normal	Body	0	126	5	Invalid	2	2	1	7	1	192	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	108		atPhysicsShieldBase	6																																																					1	-1	4294868990		0			Any	Any				192	0	7	1	192	1	1	1																																																																	
126	毫针	2	Normal	Body	0	126	5	Invalid	3	3	1	7	1	192	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	109		atPhysicsShieldBase	8																																																					1	-1	4294868990		0			Any	Any				192	0	7	1	192	1	1	1																																																																	
126	毫针	2	Normal	Body	0	126	5	Invalid	4	4	1	7	1	192	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	110		atPhysicsShieldBase	9																																																					1	-1	4294868990		0			Any	Any				192	0	7	1	192	1	1	1																																																																	
126	毫针	2	Normal	Body	0	126	5	Invalid	5	5	1	7	1	192	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	111		atPhysicsShieldBase	11																																																					1	-1	4294868990		0			Any	Any				192	0	7	1	192	1	1	1																																																																	
126	毫针	2	Normal	Body	0	126	5	Invalid	6	6	1	7	1	192	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	112		atPhysicsShieldBase	14																																																					1	-1	4294868990		0			Any	Any				192	0	7	1	192	1	1	1																																																																	
127	生活技能_Doodad需求	13	Normal	Body	0	127	0	Invalid	1	1	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	None	Any	Any	Any	0		0	0	1																																																											-1	4294934526		0			Any	Any				1	0	7	1	41472000	1	0	1																																																																	
130	缓落	13	Normal	Trample	1	130	0	Invalid	1	1	0	1	1	960	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atGravityPercent	-768	0																																																								-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1																																																																	
131	剑冲阴阳	3	Normal	Body	0	131	0	Invalid	1	1	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	42	0																																																								-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	0	1																																																																	
132	玄一无相	3	Normal	Body	0	132	0	Invalid	1	1	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	49																																																									-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	0	1																																																																	
134	坐忘无我	3	Normal	Body	10	134	5	Invalid	1	262	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	388		atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐忘无我	3	Normal	Body	10	134	5	Invalid	2	353	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	523		atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐望无我	3	Normal	Body	10	134	5	Invalid	3	444	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	657		atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐望无我	3	Normal	Body	10	134	5	Invalid	4	535	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	791		atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐望无我	3	Normal	Body	10	134	5	Invalid	5	626	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	926	512	atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐望无我	3	Normal	Body	10	134	5	Invalid	6	718	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	1062		atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐望无我	3	Normal	Body	10	134	5	Invalid	7	809	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0	纯阳\坐望无我自我修复.lua	1	0	1	atGlobalDamageAbsorb	1200	512	atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
134	坐忘无我	3	Normal	Body	10	134	5	Invalid	8	975	0	1	1	9600	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	GlobalAbsorb	Any	Any	Any	0		1	0	1	atGlobalDamageAbsorb	1443		atExecuteScript	skill\纯阳\坐忘经_坐望无我.lua		atGlobalDamageAbsorbBySelfSpirit	0	768																																																		-1	4294901758		0			Any	Any				9600	0	7	1	9600	1	1	1																																																																	
136	吐故纳新	3	Normal	Body	0	136	5	Invalid	1	1	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	59		atSkillEventHandler	355																																																						-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1																																																																	
136	吐故纳新	3	Normal	Body	0	136	5	Invalid	2	2	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	60		atSkillEventHandler	355																																																						-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1																																																																	
136	吐故纳新	3	Normal	Body	0	136	5	Invalid	3	3	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	61		atSkillEventHandler	355																																																						-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1																																																																	
136	吐故纳新	3	Normal	Body	0	136	5	Invalid	4	4	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	62		atSkillEventHandler	355																																																						-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1																																																																	
136	吐故纳新	3	Normal	Body	0	136	5	Invalid	5	5	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	63		atSkillEventHandler	355																																																						-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1																																																																	
136	吐故纳新	3	Normal	Body	0	136	5	Invalid	6	6	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		0	0	1	atSkillEventHandler	64		atSkillEventHandler	355																																																						-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1																																																																	
139	扶摇直上	3	Normal	TopHead	52	208	5	Invalid	1	6	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	NotHorse	Any	0		1	0	1	atJumpSpeedBase	250		atExecuteScript	skill\纯阳\坐忘经_梯云纵_抗摔BUFF.lua		atMaxJumpCount	-1																																																			-1	4294901710		0			Any	Any				480	0	4	1	480	1	0	1																																																																	
139	扶摇直上	3	Normal	TopHead	52	208	5	Invalid	2	7	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	NotHorse	Any	0		1	0	1	atJumpSpeedBase	270		atExecuteScript	skill\纯阳\坐忘经_梯云纵_抗摔BUFF.lua		atMaxJumpCount	-1																																																			-1	4294901710		0			Any	Any				480	0	4	1	480	1	0	1																																																																	
139	扶摇直上	3	Normal	TopHead	52	208	5	Invalid	3	8	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	NotHorse	Any	0		1	0	1	atJumpSpeedBase	290		atExecuteScript	skill\纯阳\坐忘经_梯云纵_抗摔BUFF.lua		atMaxJumpCount	-1																																																			-1	4294901710		0			Any	Any				480	0	4	1	480	1	0	1																																																																	
139	扶摇直上	3	Normal	TopHead	52	208	5	Invalid	4	9	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	NotHorse	Any	0		1	0	1	atJumpSpeedBase	310		atExecuteScript	skill\纯阳\坐忘经_梯云纵_抗摔BUFF.lua		atMaxJumpCount	-1																																																			-1	4294901710		0			Any	Any				480	0	4	1	480	1	0	1																																																																	
139	扶摇直上	3	Normal	TopHead	52	208	5	Invalid	5	10	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	NotHorse	Any	0		1	0	1	atJumpSpeedBase	330		atExecuteScript	skill\纯阳\坐忘经_梯云纵_抗摔BUFF.lua		atMaxJumpCount	-1																																																			-1	4294901710		0			Any	Any				480	0	4	1	480	1	0	1																																																																	
139	扶摇直上	3	Normal	TopHead	52	208	5	Invalid	6	11	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	NotHorse	Any	0		1	0	1	atJumpSpeedBase	350		atExecuteScript	skill\纯阳\坐忘经_梯云纵_抗摔BUFF.lua		atMaxJumpCount	-1																																																			-1	4294901710		0			Any	Any				480	0	4	1	480	1	0	1																																																																	
